Invalid Date	Invalid Date	1/1/2000	0
1/6/2000	1/1/2000	1/11/2000	0
1/16/2000	1/11/2000	1/21/2000	0
1/26/2000	1/21/2000	1/31/2000	0
2/5/2000	1/31/2000	2/10/2000	0
2/15/2000	2/10/2000	2/20/2000	0
2/25/2000	2/20/2000	3/1/2000	0
3/6/2000	3/1/2000	3/11/2000	0
3/16/2000	3/11/2000	3/21/2000	0
3/26/2000	3/21/2000	3/31/2000	0
4/5/2000	3/31/2000	4/10/2000	0
4/15/2000	4/10/2000	4/20/2000	0
4/25/2000	4/20/2000	4/30/2000	0
5/5/2000	4/30/2000	5/10/2000	0
5/15/2000	5/10/2000	5/20/2000	0
5/25/2000	5/20/2000	5/30/2000	0
6/4/2000	5/30/2000	6/9/2000	0
6/14/2000	6/9/2000	6/19/2000	0
6/24/2000	6/19/2000	6/29/2000	0
7/4/2000	6/29/2000	7/9/2000	0
7/14/2000	7/9/2000	7/19/2000	0
7/24/2000	7/19/2000	7/29/2000	0
8/3/2000	7/29/2000	8/8/2000	0
8/13/2000	8/8/2000	8/18/2000	0
8/23/2000	8/18/2000	8/28/2000	0
9/2/2000	8/28/2000	9/7/2000	0
9/12/2000	9/7/2000	9/17/2000	0
9/22/2000	9/17/2000	9/27/2000	0
10/2/2000	9/27/2000	10/7/2000	0
10/12/2000	10/7/2000	10/17/2000	0
10/22/2000	10/17/2000	10/27/2000	0
11/1/2000	10/27/2000	11/6/2000	0
11/11/2000	11/6/2000	11/16/2000	0
11/21/2000	11/16/2000	11/26/2000	0
12/1/2000	11/26/2000	12/6/2000	0
12/11/2000	12/6/2000	12/16/2000	0
12/21/2000	12/16/2000	12/26/2000	0
12/31/2000	12/26/2000	1/5/2001	0
1/10/2001	1/5/2001	1/15/2001	0
1/20/2001	1/15/2001	1/25/2001	0
1/30/2001	1/25/2001	2/4/2001	0
2/9/2001	2/4/2001	2/14/2001	0
2/19/2001	2/14/2001	2/24/2001	0
3/1/2001	2/24/2001	3/6/2001	0
3/11/2001	3/6/2001	3/16/2001	0
3/21/2001	3/16/2001	3/26/2001	0
3/31/2001	3/26/2001	4/5/2001	0
4/10/2001	4/5/2001	4/15/2001	0
4/20/2001	4/15/2001	4/25/2001	0
4/30/2001	4/25/2001	5/5/2001	0
5/10/2001	5/5/2001	5/15/2001	0
5/20/2001	5/15/2001	5/25/2001	0
5/30/2001	5/25/2001	6/4/2001	0
6/9/2001	6/4/2001	6/14/2001	0
6/19/2001	6/14/2001	6/24/2001	0
6/29/2001	6/24/2001	7/4/2001	0
7/9/2001	7/4/2001	7/14/2001	0
7/19/2001	7/14/2001	7/24/2001	0
7/29/2001	7/24/2001	8/3/2001	0
8/8/2001	8/3/2001	8/13/2001	0
8/18/2001	8/13/2001	8/23/2001	0
8/28/2001	8/23/2001	9/2/2001	0
9/7/2001	9/2/2001	9/12/2001	0
